B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 0
B06, 0
B07, 0
B08, 0
B09, 0
B10, 0
B11, 0
B12, 2
B12, Blotteritem, {'type': 'Trade', 'time': 37.36249999999993, 'price': 156, 'party1': 'B12', 'party2': 'S00', 'qty': 1}
B12, Blotteritem, {'type': 'Trade', 'time': 408.0749999997658, 'price': 156, 'party1': 'B12', 'party2': 'S13', 'qty': 1}
B13, 3
B13, Blotteritem, {'type': 'Trade', 'time': 34.67499999999932, 'price': 156, 'party1': 'B13', 'party2': 'S11', 'qty': 1}
B13, Blotteritem, {'type': 'Trade', 'time': 305.73749999985887, 'price': 156, 'party1': 'B13', 'party2': 'S11', 'qty': 1}
B13, Blotteritem, {'type': 'Trade', 'time': 571.4749999998876, 'price': 156, 'party1': 'B13', 'party2': 'S05', 'qty': 1}
B14, 11
B14, Blotteritem, {'type': 'Trade', 'time': 34.462499999999274, 'price': 157, 'party1': 'B14', 'party2': 'S13', 'qty': 1}
B14, Blotteritem, {'type': 'Trade', 'time': 176.8499999999761, 'price': 157, 'party1': 'B14', 'party2': 'S04', 'qty': 1}
B14, Blotteritem, {'type': 'Trade', 'time': 233.18749999992485, 'price': 157, 'party1': 'B14', 'party2': 'S02', 'qty': 1}
B14, Blotteritem, {'type': 'Trade', 'time': 260.5249999999, 'price': 157, 'party1': 'B14', 'party2': 'S09', 'qty': 1}
B14, Blotteritem, {'type': 'Trade', 'time': 304.56249999985994, 'price': 157, 'party1': 'B14', 'party2': 'S13', 'qty': 1}
B14, Blotteritem, {'type': 'Trade', 'time': 322.3124999998438, 'price': 157, 'party1': 'B14', 'party2': 'S12', 'qty': 1}
B14, Blotteritem, {'type': 'Trade', 'time': 361.07499999980854, 'price': 157, 'party1': 'B14', 'party2': 'S12', 'qty': 1}
B14, Blotteritem, {'type': 'Trade', 'time': 384.3374999997874, 'price': 157, 'party1': 'B14', 'party2': 'S13', 'qty': 1}
B14, Blotteritem, {'type': 'Trade', 'time': 489.5624999996917, 'price': 157, 'party1': 'B14', 'party2': 'S06', 'qty': 1}
B14, Blotteritem, {'type': 'Trade', 'time': 517.2499999996903, 'price': 157, 'party1': 'B14', 'party2': 'S00', 'qty': 1}
B14, Blotteritem, {'type': 'Trade', 'time': 569.5624999998806, 'price': 157, 'party1': 'B14', 'party2': 'S06', 'qty': 1}
B15, 13
B15, Blotteritem, {'type': 'Trade', 'time': 26.574999999999026, 'price': 157, 'party1': 'B15', 'party2': 'S02', 'qty': 1}
B15, Blotteritem, {'type': 'Trade', 'time': 62.437500000005635, 'price': 157, 'party1': 'B15', 'party2': 'S13', 'qty': 1}
B15, Blotteritem, {'type': 'Trade', 'time': 168.39999999998378, 'price': 157, 'party1': 'B15', 'party2': 'S13', 'qty': 1}
B15, Blotteritem, {'type': 'Trade', 'time': 180.09999999997314, 'price': 157, 'party1': 'B15', 'party2': 'S12', 'qty': 1}
B15, Blotteritem, {'type': 'Trade', 'time': 228.1874999999294, 'price': 157, 'party1': 'B15', 'party2': 'S12', 'qty': 1}
B15, Blotteritem, {'type': 'Trade', 'time': 264.0624999998968, 'price': 157, 'party1': 'B15', 'party2': 'S00', 'qty': 1}
B15, Blotteritem, {'type': 'Trade', 'time': 301.26249999986294, 'price': 157, 'party1': 'B15', 'party2': 'S12', 'qty': 1}
B15, Blotteritem, {'type': 'Trade', 'time': 313.274999999852, 'price': 157, 'party1': 'B15', 'party2': 'S00', 'qty': 1}
B15, Blotteritem, {'type': 'Trade', 'time': 361.28749999980835, 'price': 157, 'party1': 'B15', 'party2': 'S14', 'qty': 1}
B15, Blotteritem, {'type': 'Trade', 'time': 405.69999999976795, 'price': 157, 'party1': 'B15', 'party2': 'S06', 'qty': 1}
B15, Blotteritem, {'type': 'Trade', 'time': 481.69999999969883, 'price': 157, 'party1': 'B15', 'party2': 'S06', 'qty': 1}
B15, Blotteritem, {'type': 'Trade', 'time': 510.2999999996728, 'price': 157, 'party1': 'B15', 'party2': 'S04', 'qty': 1}
B15, Blotteritem, {'type': 'Trade', 'time': 557.2249999998357, 'price': 157, 'party1': 'B15', 'party2': 'S12', 'qty': 1}
B16, 5
B16, Blotteritem, {'type': 'Trade', 'time': 210.72499999994528, 'price': 157, 'party1': 'B16', 'party2': 'S00', 'qty': 1}
B16, Blotteritem, {'type': 'Trade', 'time': 236.7624999999216, 'price': 157, 'party1': 'B16', 'party2': 'S14', 'qty': 1}
B16, Blotteritem, {'type': 'Trade', 'time': 272.7249999998889, 'price': 157, 'party1': 'B16', 'party2': 'S00', 'qty': 1}
B16, Blotteritem, {'type': 'Trade', 'time': 383.1124999997885, 'price': 157, 'party1': 'B16', 'party2': 'S02', 'qty': 1}
B16, Blotteritem, {'type': 'Trade', 'time': 563.6499999998591, 'price': 157, 'party1': 'B16', 'party2': 'S14', 'qty': 1}
B17, 17
B17, Blotteritem, {'type': 'Trade', 'time': 20.84999999999935, 'price': 158, 'party1': 'B17', 'party2': 'S11', 'qty': 1}
B17, Blotteritem, {'type': 'Trade', 'time': 54.93750000000393, 'price': 158, 'party1': 'B17', 'party2': 'S12', 'qty': 1}
B17, Blotteritem, {'type': 'Trade', 'time': 76.67500000000886, 'price': 158, 'party1': 'B17', 'party2': 'S17', 'qty': 1}
B17, Blotteritem, {'type': 'Trade', 'time': 106.62500000001567, 'price': 158, 'party1': 'B17', 'party2': 'S00', 'qty': 1}
B17, Blotteritem, {'type': 'Trade', 'time': 157.34999999999383, 'price': 158, 'party1': 'B17', 'party2': 'S02', 'qty': 1}
B17, Blotteritem, {'type': 'Trade', 'time': 175.44999999997736, 'price': 158, 'party1': 'S16', 'party2': 'B17', 'qty': 1}
B17, Blotteritem, {'type': 'Trade', 'time': 209.67499999994624, 'price': 158, 'party1': 'B17', 'party2': 'S17', 'qty': 1}
B17, Blotteritem, {'type': 'Trade', 'time': 258.49999999990183, 'price': 158, 'party1': 'B17', 'party2': 'S14', 'qty': 1}
B17, Blotteritem, {'type': 'Trade', 'time': 294.5124999998691, 'price': 158, 'party1': 'B17', 'party2': 'S04', 'qty': 1}
B17, Blotteritem, {'type': 'Trade', 'time': 315.53749999984996, 'price': 158, 'party1': 'S03', 'party2': 'B17', 'qty': 1}
B17, Blotteritem, {'type': 'Trade', 'time': 358.4999999998109, 'price': 158, 'party1': 'B17', 'party2': 'S12', 'qty': 1}
B17, Blotteritem, {'type': 'Trade', 'time': 384.0999999997876, 'price': 158, 'party1': 'S17', 'party2': 'B17', 'qty': 1}
B17, Blotteritem, {'type': 'Trade', 'time': 475.1249999997048, 'price': 158, 'party1': 'B17', 'party2': 'S02', 'qty': 1}
B17, Blotteritem, {'type': 'Trade', 'time': 489.9874999996913, 'price': 158, 'party1': 'S16', 'party2': 'B17', 'qty': 1}
B17, Blotteritem, {'type': 'Trade', 'time': 512.5499999996732, 'price': 158, 'party1': 'S01', 'party2': 'B17', 'qty': 1}
B17, Blotteritem, {'type': 'Trade', 'time': 556.3124999998324, 'price': 158, 'party1': 'B17', 'party2': 'S01', 'qty': 1}
B17, Blotteritem, {'type': 'Trade', 'time': 582.1124999999263, 'price': 158, 'party1': 'B17', 'party2': 'S14', 'qty': 1}
B18, 9
B18, Blotteritem, {'type': 'Trade', 'time': 23.424999999999205, 'price': 157, 'party1': 'B18', 'party2': 'S04', 'qty': 1}
B18, Blotteritem, {'type': 'Trade', 'time': 109.18750000001626, 'price': 158, 'party1': 'B18', 'party2': 'S02', 'qty': 1}
B18, Blotteritem, {'type': 'Trade', 'time': 156.79999999999433, 'price': 158, 'party1': 'B18', 'party2': 'S05', 'qty': 1}
B18, Blotteritem, {'type': 'Trade', 'time': 227.36249999993015, 'price': 158, 'party1': 'B18', 'party2': 'S06', 'qty': 1}
B18, Blotteritem, {'type': 'Trade', 'time': 293.43749999987006, 'price': 158, 'party1': 'B18', 'party2': 'S01', 'qty': 1}
B18, Blotteritem, {'type': 'Trade', 'time': 362.91249999980687, 'price': 156, 'party1': 'B18', 'party2': 'S05', 'qty': 1}
B18, Blotteritem, {'type': 'Trade', 'time': 403.62499999976984, 'price': 158, 'party1': 'B18', 'party2': 'S11', 'qty': 1}
B18, Blotteritem, {'type': 'Trade', 'time': 474.96249999970496, 'price': 158, 'party1': 'B18', 'party2': 'S01', 'qty': 1}
B18, Blotteritem, {'type': 'Trade', 'time': 560.9374999998493, 'price': 158, 'party1': 'B18', 'party2': 'S13', 'qty': 1}
B19, 18
B19, Blotteritem, {'type': 'Trade', 'time': 14.14999999999973, 'price': 159, 'party1': 'B19', 'party2': 'S05', 'qty': 1}
B19, Blotteritem, {'type': 'Trade', 'time': 41.13750000000079, 'price': 158, 'party1': 'S03', 'party2': 'B19', 'qty': 1}
B19, Blotteritem, {'type': 'Trade', 'time': 101.4500000000145, 'price': 159, 'party1': 'B19', 'party2': 'S14', 'qty': 1}
B19, Blotteritem, {'type': 'Trade', 'time': 152.18749999999852, 'price': 159, 'party1': 'B19', 'party2': 'S14', 'qty': 1}
B19, Blotteritem, {'type': 'Trade', 'time': 162.3374999999893, 'price': 158, 'party1': 'S08', 'party2': 'B19', 'qty': 1}
B19, Blotteritem, {'type': 'Trade', 'time': 209.53749999994636, 'price': 159, 'party1': 'B19', 'party2': 'S13', 'qty': 1}
B19, Blotteritem, {'type': 'Trade', 'time': 232.73749999992526, 'price': 159, 'party1': 'S09', 'party2': 'B19', 'qty': 1}
B19, Blotteritem, {'type': 'Trade', 'time': 257.5624999999027, 'price': 159, 'party1': 'B19', 'party2': 'S06', 'qty': 1}
B19, Blotteritem, {'type': 'Trade', 'time': 289.49999999987364, 'price': 159, 'party1': 'B19', 'party2': 'S13', 'qty': 1}
B19, Blotteritem, {'type': 'Trade', 'time': 331.69999999983526, 'price': 159, 'party1': 'B19', 'party2': 'S04', 'qty': 1}
B19, Blotteritem, {'type': 'Trade', 'time': 354.9374999998141, 'price': 159, 'party1': 'B19', 'party2': 'S06', 'qty': 1}
B19, Blotteritem, {'type': 'Trade', 'time': 371.71249999979887, 'price': 159, 'party1': 'B19', 'party2': 'S00', 'qty': 1}
B19, Blotteritem, {'type': 'Trade', 'time': 401.84999999977146, 'price': 159, 'party1': 'B19', 'party2': 'S09', 'qty': 1}
B19, Blotteritem, {'type': 'Trade', 'time': 443.049999999734, 'price': 159, 'party1': 'B19', 'party2': 'S15', 'qty': 1}
B19, Blotteritem, {'type': 'Trade', 'time': 470.23749999970926, 'price': 159, 'party1': 'B19', 'party2': 'S14', 'qty': 1}
B19, Blotteritem, {'type': 'Trade', 'time': 482.8124999996978, 'price': 158, 'party1': 'S02', 'party2': 'B19', 'qty': 1}
B19, Blotteritem, {'type': 'Trade', 'time': 532.1374999997445, 'price': 159, 'party1': 'S01', 'party2': 'B19', 'qty': 1}
B19, Blotteritem, {'type': 'Trade', 'time': 551.9874999998167, 'price': 159, 'party1': 'B19', 'party2': 'S18', 'qty': 1}
B20, 20
B20, Blotteritem, {'type': 'Trade', 'time': 10.28749999999995, 'price': 160, 'party1': 'B20', 'party2': 'S14', 'qty': 1}
B20, Blotteritem, {'type': 'Trade', 'time': 40.23750000000059, 'price': 157, 'party1': 'S14', 'party2': 'B20', 'qty': 1}
B20, Blotteritem, {'type': 'Trade', 'time': 96.56250000001339, 'price': 160, 'party1': 'B20', 'party2': 'S11', 'qty': 1}
B20, Blotteritem, {'type': 'Trade', 'time': 100.31250000001424, 'price': 160, 'party1': 'B20', 'party2': 'S01', 'qty': 1}
B20, Blotteritem, {'type': 'Trade', 'time': 150.93749999999966, 'price': 160, 'party1': 'B20', 'party2': 'S04', 'qty': 1}
B20, Blotteritem, {'type': 'Trade', 'time': 166.33749999998565, 'price': 158, 'party1': 'S09', 'party2': 'B20', 'qty': 1}
B20, Blotteritem, {'type': 'Trade', 'time': 210.3874999999456, 'price': 159, 'party1': 'B20', 'party2': 'S16', 'qty': 1}
B20, Blotteritem, {'type': 'Trade', 'time': 218.724999999938, 'price': 160, 'party1': 'B20', 'party2': 'S05', 'qty': 1}
B20, Blotteritem, {'type': 'Trade', 'time': 248.8624999999106, 'price': 160, 'party1': 'B20', 'party2': 'S11', 'qty': 1}
B20, Blotteritem, {'type': 'Trade', 'time': 287.08749999987583, 'price': 160, 'party1': 'B20', 'party2': 'S11', 'qty': 1}
B20, Blotteritem, {'type': 'Trade', 'time': 315.7374999998498, 'price': 158, 'party1': 'S08', 'party2': 'B20', 'qty': 1}
B20, Blotteritem, {'type': 'Trade', 'time': 352.4374999998164, 'price': 160, 'party1': 'B20', 'party2': 'S00', 'qty': 1}
B20, Blotteritem, {'type': 'Trade', 'time': 373.37499999979735, 'price': 159, 'party1': 'S06', 'party2': 'B20', 'qty': 1}
B20, Blotteritem, {'type': 'Trade', 'time': 398.3124999997747, 'price': 160, 'party1': 'B20', 'party2': 'S01', 'qty': 1}
B20, Blotteritem, {'type': 'Trade', 'time': 450.2874999997274, 'price': 160, 'party1': 'B20', 'party2': 'S02', 'qty': 1}
B20, Blotteritem, {'type': 'Trade', 'time': 467.28749999971194, 'price': 160, 'party1': 'B20', 'party2': 'S13', 'qty': 1}
B20, Blotteritem, {'type': 'Trade', 'time': 484.53749999969625, 'price': 158, 'party1': 'S17', 'party2': 'B20', 'qty': 1}
B20, Blotteritem, {'type': 'Trade', 'time': 528.4749999997312, 'price': 160, 'party1': 'B20', 'party2': 'S04', 'qty': 1}
B20, Blotteritem, {'type': 'Trade', 'time': 555.099999999828, 'price': 159, 'party1': 'S16', 'party2': 'B20', 'qty': 1}
B20, Blotteritem, {'type': 'Trade', 'time': 597.5124999999823, 'price': 160, 'party1': 'B20', 'party2': 'S17', 'qty': 1}
B21, 20
B21, Blotteritem, {'type': 'Trade', 'time': 21.524999999999313, 'price': 159, 'party1': 'S18', 'party2': 'B21', 'qty': 1}
B21, Blotteritem, {'type': 'Trade', 'time': 37.77500000000003, 'price': 158, 'party1': 'S08', 'party2': 'B21', 'qty': 1}
B21, Blotteritem, {'type': 'Trade', 'time': 93.92500000001279, 'price': 160, 'party1': 'B21', 'party2': 'S18', 'qty': 1}
B21, Blotteritem, {'type': 'Trade', 'time': 109.96250000001643, 'price': 159, 'party1': 'S19', 'party2': 'B21', 'qty': 1}
B21, Blotteritem, {'type': 'Trade', 'time': 152.0874999999986, 'price': 160, 'party1': 'B21', 'party2': 'S17', 'qty': 1}
B21, Blotteritem, {'type': 'Trade', 'time': 174.98749999997779, 'price': 158, 'party1': 'S03', 'party2': 'B21', 'qty': 1}
B21, Blotteritem, {'type': 'Trade', 'time': 209.2624999999466, 'price': 160, 'party1': 'B21', 'party2': 'S14', 'qty': 1}
B21, Blotteritem, {'type': 'Trade', 'time': 212.8999999999433, 'price': 159, 'party1': 'S19', 'party2': 'B21', 'qty': 1}
B21, Blotteritem, {'type': 'Trade', 'time': 259.01249999990137, 'price': 159, 'party1': 'S03', 'party2': 'B21', 'qty': 1}
B21, Blotteritem, {'type': 'Trade', 'time': 299.5374999998645, 'price': 159, 'party1': 'S19', 'party2': 'B21', 'qty': 1}
B21, Blotteritem, {'type': 'Trade', 'time': 310.47499999985456, 'price': 159, 'party1': 'S19', 'party2': 'B21', 'qty': 1}
B21, Blotteritem, {'type': 'Trade', 'time': 353.91249999981505, 'price': 160, 'party1': 'B21', 'party2': 'S13', 'qty': 1}
B21, Blotteritem, {'type': 'Trade', 'time': 385.01249999978677, 'price': 160, 'party1': 'B21', 'party2': 'S16', 'qty': 1}
B21, Blotteritem, {'type': 'Trade', 'time': 399.52499999977357, 'price': 160, 'party1': 'S05', 'party2': 'B21', 'qty': 1}
B21, Blotteritem, {'type': 'Trade', 'time': 443.3874999997337, 'price': 160, 'party1': 'S18', 'party2': 'B21', 'qty': 1}
B21, Blotteritem, {'type': 'Trade', 'time': 469.8374999997096, 'price': 160, 'party1': 'B21', 'party2': 'S11', 'qty': 1}
B21, Blotteritem, {'type': 'Trade', 'time': 495.1499999996866, 'price': 159, 'party1': 'S19', 'party2': 'B21', 'qty': 1}
B21, Blotteritem, {'type': 'Trade', 'time': 515.6124999996844, 'price': 160, 'party1': 'S21', 'party2': 'B21', 'qty': 1}
B21, Blotteritem, {'type': 'Trade', 'time': 557.3249999998361, 'price': 159, 'party1': 'S19', 'party2': 'B21', 'qty': 1}
B21, Blotteritem, {'type': 'Trade', 'time': 599.1999999999884, 'price': 160, 'party1': 'B21', 'party2': 'S09', 'qty': 1}
B22, 20
B22, Blotteritem, {'type': 'Trade', 'time': 11.474999999999882, 'price': 161, 'party1': 'S01', 'party2': 'B22', 'qty': 1}
B22, Blotteritem, {'type': 'Trade', 'time': 41.35000000000084, 'price': 159, 'party1': 'S16', 'party2': 'B22', 'qty': 1}
B22, Blotteritem, {'type': 'Trade', 'time': 75.26250000000854, 'price': 159, 'party1': 'S19', 'party2': 'B22', 'qty': 1}
B22, Blotteritem, {'type': 'Trade', 'time': 96.70000000001342, 'price': 161, 'party1': 'S21', 'party2': 'B22', 'qty': 1}
B22, Blotteritem, {'type': 'Trade', 'time': 148.76250000000164, 'price': 161, 'party1': 'B22', 'party2': 'S18', 'qty': 1}
B22, Blotteritem, {'type': 'Trade', 'time': 152.58749999999816, 'price': 161, 'party1': 'B22', 'party2': 'S00', 'qty': 1}
B22, Blotteritem, {'type': 'Trade', 'time': 194.8749999999597, 'price': 161, 'party1': 'B22', 'party2': 'S09', 'qty': 1}
B22, Blotteritem, {'type': 'Trade', 'time': 212.59999999994358, 'price': 159, 'party1': 'S08', 'party2': 'B22', 'qty': 1}
B22, Blotteritem, {'type': 'Trade', 'time': 258.13749999990216, 'price': 159, 'party1': 'S15', 'party2': 'B22', 'qty': 1}
B22, Blotteritem, {'type': 'Trade', 'time': 276.06249999988586, 'price': 161, 'party1': 'B22', 'party2': 'S09', 'qty': 1}
B22, Blotteritem, {'type': 'Trade', 'time': 320.72499999984524, 'price': 160, 'party1': 'S20', 'party2': 'B22', 'qty': 1}
B22, Blotteritem, {'type': 'Trade', 'time': 343.6124999998244, 'price': 161, 'party1': 'B22', 'party2': 'S19', 'qty': 1}
B22, Blotteritem, {'type': 'Trade', 'time': 363.862499999806, 'price': 157, 'party1': 'S14', 'party2': 'B22', 'qty': 1}
B22, Blotteritem, {'type': 'Trade', 'time': 414.5374999997599, 'price': 161, 'party1': 'B22', 'party2': 'S19', 'qty': 1}
B22, Blotteritem, {'type': 'Trade', 'time': 427.9749999997477, 'price': 161, 'party1': 'B22', 'party2': 'S05', 'qty': 1}
B22, Blotteritem, {'type': 'Trade', 'time': 459.88749999971867, 'price': 161, 'party1': 'B22', 'party2': 'S04', 'qty': 1}
B22, Blotteritem, {'type': 'Trade', 'time': 507.76249999967513, 'price': 158, 'party1': 'S13', 'party2': 'B22', 'qty': 1}
B22, Blotteritem, {'type': 'Trade', 'time': 518.537499999695, 'price': 161, 'party1': 'B22', 'party2': 'S06', 'qty': 1}
B22, Blotteritem, {'type': 'Trade', 'time': 563.349999999858, 'price': 159, 'party1': 'S08', 'party2': 'B22', 'qty': 1}
B22, Blotteritem, {'type': 'Trade', 'time': 585.6249999999391, 'price': 160, 'party1': 'S20', 'party2': 'B22', 'qty': 1}
B23, 6
B23, Blotteritem, {'type': 'Trade', 'time': 178.049999999975, 'price': 159, 'party1': 'S19', 'party2': 'B23', 'qty': 1}
B23, Blotteritem, {'type': 'Trade', 'time': 210.57499999994542, 'price': 158, 'party1': 'B23', 'party2': 'S06', 'qty': 1}
B23, Blotteritem, {'type': 'Trade', 'time': 262.87499999989785, 'price': 160, 'party1': 'S21', 'party2': 'B23', 'qty': 1}
B23, Blotteritem, {'type': 'Trade', 'time': 307.6624999998571, 'price': 158, 'party1': 'S06', 'party2': 'B23', 'qty': 1}
B23, Blotteritem, {'type': 'Trade', 'time': 326.97499999983955, 'price': 159, 'party1': 'S18', 'party2': 'B23', 'qty': 1}
B23, Blotteritem, {'type': 'Trade', 'time': 464.96249999971405, 'price': 161, 'party1': 'B23', 'party2': 'S12', 'qty': 1}
B24, 20
B24, Blotteritem, {'type': 'Trade', 'time': 9.737499999999981, 'price': 161, 'party1': 'S09', 'party2': 'B24', 'qty': 1}
B24, Blotteritem, {'type': 'Trade', 'time': 37.062499999999865, 'price': 158, 'party1': 'S17', 'party2': 'B24', 'qty': 1}
B24, Blotteritem, {'type': 'Trade', 'time': 67.1625000000067, 'price': 160, 'party1': 'S09', 'party2': 'B24', 'qty': 1}
B24, Blotteritem, {'type': 'Trade', 'time': 104.58750000001521, 'price': 159, 'party1': 'S18', 'party2': 'B24', 'qty': 1}
B24, Blotteritem, {'type': 'Trade', 'time': 133.76250000001528, 'price': 162, 'party1': 'B24', 'party2': 'S14', 'qty': 1}
B24, Blotteritem, {'type': 'Trade', 'time': 165.0749999999868, 'price': 159, 'party1': 'S18', 'party2': 'B24', 'qty': 1}
B24, Blotteritem, {'type': 'Trade', 'time': 190.28749999996387, 'price': 162, 'party1': 'B24', 'party2': 'S05', 'qty': 1}
B24, Blotteritem, {'type': 'Trade', 'time': 216.52499999994, 'price': 162, 'party1': 'B24', 'party2': 'S01', 'qty': 1}
B24, Blotteritem, {'type': 'Trade', 'time': 264.5874999998963, 'price': 162, 'party1': 'S05', 'party2': 'B24', 'qty': 1}
B24, Blotteritem, {'type': 'Trade', 'time': 272.3749999998892, 'price': 162, 'party1': 'S17', 'party2': 'B24', 'qty': 1}
